Temp   Irrep   Executed 
15  GM4-  True 
15  R4-  True 
15  X3-  True 
15  X5-  True 
15  M3-  True 
15  M5-  True 
15  R5+  True 
15  X1+  True 
15  X5+  True 
15  M2-  True 
15  GM5-  True 
15  R2-  True 
15  R3-  True 
15  R5-  True 
15  X2+  True 
15  M1+  True 
15  M2+  True 
15  M3+  True 
15  M4+  True 
15  M5+  True 
15  nomodes  True 
150  GM4-  True 
150  R4-  True 
150  X3-  True 
150  X5-  True 
150  M3-  True 
150  M5-  True 
150  R5+  True 
150  X1+  True 
150  X5+  True 
150  M2-  True 
150  GM5-  True 
150  R2-  True 
150  R3-  True 
150  R5-  True 
150  X2+  True 
150  M1+  True 
150  M2+  True 
150  M3+  True 
150  M4+  True 
150  M5+  True 
150  nomodes  True 
210  GM4-  True 
210  R4-  True 
210  X3-  True 
210  X5-  True 
210  M3-  True 
210  M5-  True 
210  R5+  True 
210  X1+  True 
210  X5+  True 
210  M2-  True 
210  GM5-  True 
210  R2-  True 
210  R3-  True 
210  R5-  True 
210  X2+  True 
210  M1+  True 
210  M2+  True 
210  M3+  True 
210  M4+  True 
210  M5+  True 
210  nomodes  True 
250  GM4-  True 
250  R4-  True 
250  X3-  True 
250  X5-  True 
250  M3-  True 
250  M5-  True 
250  R5+  True 
250  X1+  True 
250  X5+  True 
250  M2-  True 
250  GM5-  True 
250  R2-  True 
250  R3-  True 
250  R5-  True 
250  X2+  True 
250  M1+  True 
250  M2+  True 
250  M3+  True 
250  M4+  True 
250  M5+  True 
250  nomodes  True 
293  GM4-  True 
293  R4-  True 
293  X3-  True 
293  X5-  True 
293  M3-  True 
293  M5-  True 
293  R5+  True 
293  X1+  True 
293  X5+  True 
293  M2-  True 
293  GM5-  True 
293  R2-  True 
293  R3-  True 
293  R5-  True 
293  X2+  True 
293  M1+  True 
293  M2+  True 
293  M3+  True 
293  M4+  True 
293  M5+  True 
293  nomodes  True 
350  GM4-  True 
350  R4-  True 
350  X3-  True 
350  X5-  True 
350  M3-  True 
350  M5-  True 
350  R5+  True 
350  X1+  True 
350  X5+  True 
350  M2-  True 
350  GM5-  True 
350  R2-  True 
350  R3-  True 
350  R5-  True 
350  X2+  True 
350  M1+  True 
350  M2+  True 
350  M3+  True 
350  M4+  True 
350  M5+  True 
350  nomodes  True 
410  GM4-  True 
410  R4-  True 
410  X3-  True 
410  X5-  True 
410  M3-  True 
410  M5-  True 
410  R5+  True 
410  X1+  True 
410  X5+  True 
410  M2-  True 
410  GM5-  True 
410  R2-  True 
410  R3-  True 
410  R5-  True 
410  X2+  True 
410  M1+  True 
410  M2+  True 
410  M3+  True 
410  M4+  True 
410  M5+  True 
410  nomodes  True 
500  GM4-  True 
500  R4-  True 
500  X3-  True 
500  X5-  True 
500  M3-  True 
500  M5-  True 
500  R5+  True 
500  X1+  True 
500  X5+  True 
500  M2-  True 
500  GM5-  True 
500  R2-  True 
500  R3-  True 
500  R5-  True 
500  X2+  True 
500  M1+  True 
500  M2+  True 
500  M3+  True 
500  M4+  True 
500  M5+  True 
500  nomodes  True 
