Temp   Irrep   Executed 
125  GM4-  True 
125  R5+  True 
125  X1+  True 
125  X5+  True 
125  M2-  True 
125  M5-  True 
125  GM5-  True 
125  R2-  True 
125  R3-  True 
125  R4-  True 
125  R5-  True 
125  X2+  True 
125  X3-  True 
125  X5-  True 
125  M1+  True 
125  M2+  True 
125  M3+  True 
125  M4+  True 
125  M5+  True 
125  nomodes  True 
140  GM4-  True 
140  R5+  True 
140  X1+  True 
140  X5+  True 
140  M2-  True 
140  M5-  True 
140  GM5-  True 
140  R2-  True 
140  R3-  True 
140  R4-  True 
140  R5-  True 
140  X2+  True 
140  X3-  True 
140  X5-  True 
140  M1+  True 
140  M2+  True 
140  M3+  True 
140  M4+  True 
140  M5+  True 
140  nomodes  True 
147  GM4-  True 
147  R5+  True 
147  X1+  True 
147  X5+  True 
147  M2-  True 
147  M5-  True 
147  GM5-  True 
147  R2-  True 
147  R3-  True 
147  R4-  True 
147  R5-  True 
147  X2+  True 
147  X3-  True 
147  X5-  True 
147  M1+  True 
147  M2+  True 
147  M3+  True 
147  M4+  True 
147  M5+  True 
147  nomodes  True 
152  GM4-  True 
152  R5+  True 
152  X1+  True 
152  X5+  True 
152  M2-  True 
152  M5-  True 
152  GM5-  True 
152  R2-  True 
152  R3-  True 
152  R4-  True 
152  R5-  True 
152  X2+  True 
152  X3-  True 
152  X5-  True 
152  M1+  True 
152  M2+  True 
152  M3+  True 
152  M4+  True 
152  M5+  True 
152  nomodes  True 
175  GM4-  True 
175  R5+  True 
175  X1+  True 
175  X5+  True 
175  M2-  True 
175  M5-  True 
175  GM5-  True 
175  R2-  True 
175  R3-  True 
175  R4-  True 
175  R5-  True 
175  X2+  True 
175  X3-  True 
175  X5-  True 
175  M1+  True 
175  M2+  True 
175  M3+  True 
175  M4+  True 
175  M5+  True 
175  nomodes  True 
200  GM4-  True 
200  R5+  True 
200  X1+  True 
200  X5+  True 
200  M2-  True 
200  M5-  True 
200  GM5-  True 
200  R2-  True 
200  R3-  True 
200  R4-  True 
200  R5-  True 
200  X2+  True 
200  X3-  True 
200  X5-  True 
200  M1+  True 
200  M2+  True 
200  M3+  True 
200  M4+  True 
200  M5+  True 
200  nomodes  True 
225  GM4-  True 
225  R5+  True 
225  X1+  True 
225  X5+  True 
225  M2-  True 
225  M5-  True 
225  GM5-  True 
225  R2-  True 
225  R3-  True 
225  R4-  True 
225  R5-  True 
225  X2+  True 
225  X3-  True 
225  X5-  True 
225  M1+  True 
225  M2+  True 
225  M3+  True 
225  M4+  True 
225  M5+  True 
225  nomodes  True 
250  GM4-  True 
250  R5+  True 
250  X1+  True 
250  X5+  True 
250  M2-  True 
250  M5-  True 
250  GM5-  True 
250  R2-  True 
250  R3-  True 
250  R4-  True 
250  R5-  True 
250  X2+  True 
250  X3-  True 
250  X5-  True 
250  M1+  True 
250  M2+  True 
250  M3+  True 
250  M4+  True 
250  M5+  True 
250  nomodes  True 
275  GM4-  True 
275  R5+  True 
275  X1+  True 
275  X5+  True 
275  M2-  True 
275  M5-  True 
275  GM5-  True 
275  R2-  True 
275  R3-  True 
275  R4-  True 
275  R5-  True 
275  X2+  True 
275  X3-  True 
275  X5-  True 
275  M1+  True 
275  M2+  True 
275  M3+  True 
275  M4+  True 
275  M5+  True 
275  nomodes  True 
325  GM4-  True 
325  R5+  True 
325  X1+  True 
325  X5+  True 
325  M2-  True 
325  M5-  True 
325  GM5-  True 
325  R2-  True 
325  R3-  True 
325  R4-  True 
325  R5-  True 
325  X2+  True 
325  X3-  True 
325  X5-  True 
325  M1+  True 
325  M2+  True 
325  M3+  True 
325  M4+  True 
325  M5+  True 
325  nomodes  True 
350  GM4-  True 
350  R5+  True 
350  X1+  True 
350  X5+  True 
350  M2-  True 
350  M5-  True 
350  GM5-  True 
350  R2-  True 
350  R3-  True 
350  R4-  True 
350  R5-  True 
350  X2+  True 
350  X3-  True 
350  X5-  True 
350  M1+  True 
350  M2+  True 
350  M3+  True 
350  M4+  True 
350  M5+  True 
350  nomodes  True 
375  GM4-  True 
375  R5+  True 
375  X1+  True 
375  X5+  True 
375  M2-  True 
375  M5-  True 
375  GM5-  True 
375  R2-  True 
375  R3-  True 
375  R4-  True 
375  R5-  True 
375  X2+  True 
375  X3-  True 
375  X5-  True 
375  M1+  True 
375  M2+  True 
375  M3+  True 
375  M4+  True 
375  M5+  True 
375  nomodes  True 
400  GM4-  True 
400  R5+  True 
400  X1+  True 
400  X5+  True 
400  M2-  True 
400  M5-  True 
400  GM5-  True 
400  R2-  True 
400  R3-  True 
400  R4-  True 
400  R5-  True 
400  X2+  True 
400  X3-  True 
400  X5-  True 
400  M1+  True 
400  M2+  True 
400  M3+  True 
400  M4+  True 
400  M5+  True 
400  nomodes  True 
